Visit_Team,Visit_Stadium,Season,Visit_lat,Visit_long
Arizona Cardinals,University of Phoenix Stadium ,2007,33.528,-112.263
Atlanta Falcons,The Georgia Dome,2007,33.758,-84.401
Baltimore Ravens,M&T Bank Stadium,2007,39.278056,-76.622778
Buffalo Bills,Ralph Wilson Stadium,2007,42.774,-78.787
Carolina Panthers,Bank of America Stadium,2007,35.225833,-80.852778
Chicago Bears,Soldier Field,2007,41.8623,-87.6167
Cincinnati Bengals,Paul Brown Stadium,2007,39.095,-84.516
Cleveland Browns,Cleveland Browns Stadium,2007,41.506111,-81.699444
Dallas Cowboys,Texas,2007,32.84,-96.911
Denver Broncos,Invesco Field at Mile High,2007,39.743889,-105.02
Detroit Lions,Ford Field,2007,42.34,-83.045556
Green Bay Packers,Lambeau Field,2007,44.501389,-88.062222
Houston Texans,Reliant Stadium,2007,29.684722,-95.410833
Indianapolis Colts,RCA Dome,2007,39.763658,-86.163319
Jacksonville Jaguars,Jacksonville Municipal Stadium,2007,30.323889,-81.6375
Kansas City Chiefs,Arrowhead Stadium,2007,39.048889,-94.483889
Miami Dolphins,Dolphin Stadium,2007,25.958056,-80.238889
Minnesota Vikings,Metrodome,2007,44.973889,-93.258056
New England Patriots,Gillette Stadium,2007,42.091,-71.264
New Orleans Saints,Louisiana Superdome,2007,29.950833,-90.811111
New York Giants,Giants Stadium,2007,40.812222,-74.076944
New York Jets,The Meadowlands,2007,40.813528,-74.074361
Oakland Raiders,McAfee Coliseum,2007,37.751667,-122.200556
Philadelphia Eagles,Lincoln Financial Field,2007,39.900833,-75.1675
Pittsburgh Steelers,Heinz Field,2007,40.446667,-80.015833
San Diego Chargers,Qualcomm Stadium,2007,32.783056,-117.119444
San Francisco 49ers,Monster Park,2007,37.713611,-122.386111
Seattle Seahawks,Qwest Field,2007,47.5952,-122.3316
St. Louis Rams,Edward Jones Dome,2007,38.632778,-90.188611
Tampa Bay Buccaneers,Raymond James Stadium,2007,27.975833,-82.503333
Tennessee Titans,LP Field,2007,36.166389,-86.771389
Washington Redskins,FedExField,2007,38.907778,-76.864444
Arizona Cardinals,University of Phoenix,2008,33.528,-112.263
Atlanta Falcons,The Georgia Dome,2008,33.758,-84.401
Atlanta Falcons,The GEORGIA Dome,2008,33.758,-84.401
Baltimore Ravens,M&T Bank Stadium,2008,39.278056,-76.622778
Buffalo Bills,Ralph Wilson Stadium,2008,42.774,-78.787
Carolina Panthers,Bank of America Stadium,2008,35.225833,-80.852778
Chicago Bears,Soldier Field,2008,41.8623,-87.6167
Cincinnati Bengals,Paul Brown Stadium,2008,39.095,-84.516
Cleveland Browns,Cleveland Browns Stadium,2008,41.506111,-81.699444
Dallas Cowboys,Texas,2008,32.84,-96.911
Denver Broncos,Invesco Field at Mile High,2008,39.743889,-105.02
Detroit Lions,Ford Field,2008,42.34,-83.045556
Green Bay Packers,Lambeau Field,2008,44.501389,-88.062222
Houston Texans,Reliant,2008,29.684722,-95.410833
Indianapolis Colts,Lucas Oil Stadium,2008,39.760056,-86.162806
Jacksonville Jaguars,Jacksonville Municipal Stadium,2008,30.323889,-81.6375
Kansas City Chiefs,Arrowhead Stadium,2008,39.048889,-94.483889
Miami Dolphins,Dolphin Stadium,2008,25.958056,-80.238889
Minnesota Vikings,Metrodome,2008,44.973889,-93.258056
New England Patriots,Gillette Stadium,2008,42.091,-71.264
New Orleans Saints,Louisiana Superdome,2008,29.950833,-90.811111
New York Giants,Giants Stadium,2008,40.812222,-74.076944
New York Jets,The Meadowlands,2008,40.813528,-74.074361
Oakland Raiders,McAfee Coliseum,2008,37.751667,-122.200556
Oakland Raiders,Oakland Alameda County Coliseum,2008,37.751667,-122.200556
Oakland Raiders,Oakland-Alameda County Coliseum,2008,37.751667,-122.200556
Philadelphia Eagles,Lincoln Financial Field,2008,39.900833,-75.1675
Pittsburgh Steelers,Heinz Field,2008,40.446667,-80.015833
San Diego Chargers,Qualcomm Stadium,2008,32.783056,-117.119444
San Francisco 49ers,Candlestick Park,2008,37.713611,-122.386111
Seattle Seahawks,Qwest Field,2008,47.5952,-122.3316
St. Louis Rams,Edward Jones Dome,2008,38.632778,-90.188611
Tampa Bay Buccaneers,Raymond James Stadium,2008,27.975833,-82.503333
Tennessee Titans,LP Field,2008,36.166389,-86.771389
Washington Redskins,FedExField,2008,38.907778,-76.864444
Arizona Cardinals,University of Phoenix,2009,33.528,-112.263
Atlanta Falcons,Georgia Dome,2009,33.758,-84.401
Baltimore Ravens,M&T Bank Stadium,2009,39.278056,-76.622778
Buffalo Bills,Ralph Wilson Stadium,2009,42.774,-78.787
Carolina Panthers,Bank of America Stadium,2009,35.225833,-80.852778
Chicago Bears,Soldier Field,2009,41.8623,-87.6167
Cincinnati Bengals,Paul Brown Stadium,2009,39.095,-84.516
