Home_Team,Stadium,Season,num,longitude,latitude,additional_info_location
Arizona Cardinals,State Farm Stadium,2018,8,33.528,-112.263,
Arizona Cardinals,State Farm Stadium,2019,8,33.528,-112.263,
Arizona Cardinals,Univeristy of Phoenix,2009,1,33.528,-112.263,
Arizona Cardinals,Univeristy of Phoenix,2010,1,33.528,-112.263,
Arizona Cardinals,Univeristy of Phoenix,2011,1,33.528,-112.263,
Arizona Cardinals,Univeristy of Phoenix,2012,1,33.528,-112.263,
Arizona Cardinals,Univerity of Phoenix Stadium,2015,1,33.528,-112.263,
Arizona Cardinals,University of Phoeinx Stadium,2016,1,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2007,7,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2008,8,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2009,7,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2010,3,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2011,2,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2012,2,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2013,7,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2014,8,33.528,-112.263,
Arizona Cardinals,University of Phoenix,2015,4,33.528,-112.263,
Arizona Cardinals,University Of Phoenix,2010,1,33.528,-112.263,
Arizona Cardinals,University Of Phoenix,2012,1,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2007,1,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2010,2,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2011,5,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2012,4,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2013,1,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2015,2,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2016,7,33.528,-112.263,
Arizona Cardinals,University of Phoenix Stadium,2017,8,33.528,-112.263,
Arizona Cardinals,University of Phoenix Statium,2010,1,33.528,-112.263,
Arizona Cardinals,Unviversity of Phoenix Stadium,2015,1,33.528,-112.263,
Atlanta Falcons,Geogia Dome,2013,1,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2007,3,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2008,2,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2009,5,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2010,7,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2011,8,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2012,8,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2013,7,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2014,7,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2015,8,33.758,-84.401,
Atlanta Falcons,Georgia Dome,2016,8,33.758,-84.401,
Atlanta Falcons,Mercedes-Benz Dome,2017,1,33.755556,-84.4,
Atlanta Falcons,Mercedes-Benz Stadium,2017,7,33.755556,-84.4,
Atlanta Falcons,Mercedes-Benz Stadium,2018,8,33.755556,-84.4,
Atlanta Falcons,Mercedes-Benz Stadium,2019,8,33.755556,-84.4,
Atlanta Falcons,The Georgia Dome,2007,5,33.758,-84.401,
Atlanta Falcons,The Georgia Dome,2008,5,33.758,-84.401,
Atlanta Falcons,The Georgia Dome,2009,3,33.758,-84.401,
Atlanta Falcons,The Georgia Dome,2010,1,33.758,-84.401,
Atlanta Falcons,The GEORGIA Dome,2008,1,33.758,-84.401,
Atlanta Falcons,Wembley,2014,1,51.3321,-0.1647,London
Baltimore Ravens,M & T Bank Stadium,2007,2,39.278056,-76.622778,
Baltimore Ravens,M & T Bank Stadium,2011,2,39.278056,-76.622778,
Baltimore Ravens,M & T Bank Stadium,2016,2,39.278056,-76.622778,
Baltimore Ravens,M & T Bank Stadium,2017,1,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2007,5,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2008,8,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2009,7,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2010,7,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2011,4,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2012,3,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2013,7,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2014,7,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2015,7,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2016,6,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2017,4,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2018,7,39.278056,-76.622778,
Baltimore Ravens,M&T Bank Stadium,2019,5,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2007,1,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2009,1,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2010,1,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2011,2,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2012,5,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2013,1,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2014,1,39.278056,-76.622778,
Baltimore Ravens,M&T Stadium,2015,1,39.278056,-76.622778,
